time,heading,imu_heading,gps_heading,gspeed,gear
1684844489.9082868,54.316128641270296,148.51999509019768,57.54934000000003,0.922,0
1684844489.9285924,55.32211000000001,148.39099832988316,55.32211000000001,1.086,0
1684844489.947965,55.32211000000001,148.26056667534377,55.32211000000001,1.086,0
1684844489.9679356,55.32211000000001,148.13091719487696,55.32211000000001,1.086,0
1684844489.988106,55.32211000000001,148.0012868572986,55.32211000000001,1.086,0
1684844490.0083942,55.32211000000001,147.8625471922067,55.32211000000001,1.086,0
1684844490.02854,55.32211000000001,147.73249835447015,55.32211000000001,1.086,0
1684844490.0477164,55.32211000000001,147.61222311171085,55.32211000000001,1.086,0
1684844490.0683286,55.32211000000001,147.4811707131855,55.32211000000001,1.086,0
1684844490.0880766,55.32211000000001,147.3697781701291,55.32211000000001,1.086,0
1684844490.1078904,55.32211000000001,147.25808245639288,55.32211000000001,1.086,0
1684844490.1283922,55.21128686918209,147.14725932557496,55.32211000000001,1.086,0
1684844490.1486244,55.10056651225776,147.03653896865063,55.32211000000001,1.086,0
1684844490.1681182,54.98089586382119,146.91686832021406,55.32211000000001,1.086,0
1684844490.1880624,54.87906388187591,146.81503633826878,55.32211000000001,1.086,0
1684844490.2079763,54.76887424816829,146.70484670456116,55.32211000000001,1.086,0
1684844490.2285426,54.658689983546026,146.5946624399389,55.32211000000001,1.086,0
1684844490.2481763,54.557631594339654,146.49360405073253,55.32211000000001,1.086,0
1684844490.268031,54.45719349948257,146.39316595587545,55.32211000000001,1.086,0
1684844490.2886643,54.36525787969046,146.30123033608334,55.32211000000001,1.086,0
1684844490.3085752,54.265066384874274,146.20103884126715,55.32211000000001,1.086,0
1684844490.3281171,54.173229303937745,146.10920176033062,55.32211000000001,1.086,0
1684844490.3486202,54.0899187119345,146.02589116832738,55.32211000000001,1.086,0
1684844490.3680296,53.98800670367851,145.92397916007138,55.32211000000001,1.086,0
1684844490.3880775,53.904702737143054,145.84067519353593,55.32211000000001,1.086,0
1684844490.4086046,53.81339462612823,145.7493670825211,55.32211000000001,1.086,0
1684844490.4280307,53.73040672221285,145.66637917860572,55.32211000000001,1.086,0
1684844490.448233,53.6486054812884,145.58457793768127,55.32211000000001,1.086,0
1684844490.4681425,53.566024678602446,145.50199713499532,55.32211000000001,1.086,0
1684844490.4880068,53.493808541855884,145.42978099824876,55.32211000000001,1.086,0
1684844490.508309,53.42026327587158,145.35623573226445,55.32211000000001,1.086,0
1684844490.527914,53.347267237322285,145.28323969371516,55.32211000000001,1.086,0
1684844490.5481517,53.265234620557976,145.20120707695085,55.32211000000001,1.086,0
1684844490.5678115,53.18254292862173,145.1185153850146,55.32211000000001,1.086,0
1684844490.5877216,53.1006882872114,145.03666074360427,55.32211000000001,1.086,0
1684844490.6078572,53.01855844277105,144.95453089916393,55.32211000000001,1.086,0
1684844490.628144,52.93582803651384,144.87180049290671,55.32211000000001,1.086,0
1684844490.648438,52.853695146450036,144.7896676028429,55.32211000000001,1.086,0
1684844490.6685376,52.78115826601538,144.71713072240826,55.32211000000001,1.086,0
1684844490.6884432,52.70826923150355,144.64424168789643,55.32211000000001,1.086,0
1684844490.707773,52.635398383079576,144.57137083947245,55.32211000000001,1.086,0
1684844490.7285893,52.56229790228625,144.49827035867912,55.32211000000001,1.086,0
1684844490.7484288,52.50751332918867,144.44348578558154,55.32211000000001,1.086,0
1684844490.7683725,52.44413730190416,144.38010975829704,55.32211000000001,1.086,0
1684844490.7890286,52.37040438597609,144.30637684236896,55.32211000000001,1.086,0
1684844490.8084776,52.306266701791486,144.24223915818436,55.32211000000001,1.086,0
1684844490.8283627,52.243374916306436,144.1793473726993,55.32211000000001,1.086,0
1684844490.8490927,52.17931880884399,144.11529126523686,55.32211000000001,1.086,0
1684844490.8676057,52.125574202135084,144.06154665852796,55.32211000000001,1.086,0
1684844490.8879018,52.06193805726241,143.99791051365528,55.32211000000001,1.086,0
1684844490.9082103,53.88983000000002,143.94437244003336,53.88983000000002,1.2750000000000001,0
1684844490.9277458,53.88983000000002,143.88012532608926,53.88983000000002,1.2750000000000001,0
1684844490.9481118,53.88983000000002,143.83501723923138,53.88983000000002,1.2750000000000001,0
1684844490.9677851,53.88983000000002,143.77895666695744,53.88983000000002,1.2750000000000001,0
1684844490.9880154,53.88983000000002,143.7336537265129,53.88983000000002,1.2750000000000001,0
1684844491.0086741,53.88983000000002,143.68845130484297,53.88983000000002,1.2750000000000001,0
1684844491.028034,53.88983000000002,143.6331620377501,53.88983000000002,1.2750000000000001,0
1684844491.0487795,53.88983000000002,143.587683895305,53.88983000000002,1.2750000000000001,0
1684844491.0681531,53.88983000000002,143.55103987906014,53.88983000000002,1.2750000000000001,0
1684844491.088175,53.88983000000002,143.51571288796777,53.88983000000002,1.2750000000000001,0
1684844491.1080594,53.845354498233974,143.47123738620172,53.88983000000002,1.2750000000000001,0
1684844491.1281817,53.810286352692515,143.43616924066026,53.88983000000002,1.2750000000000001,0
1684844491.1485069,53.76453976406799,143.39042265203574,53.88983000000002,1.2750000000000001,0
1684844491.16858,53.727681112499795,143.35356400046754,53.88983000000002,1.2750000000000001,0
1684844491.1878228,53.681261936445395,143.30714482441314,53.88983000000002,1.2750000000000001,0
1684844491.2072778,53.64424463784309,143.27012752581084,53.88983000000002,1.2750000000000001,0
1684844491.2276006,53.60781304490931,143.23369593287705,53.88983000000002,1.2750000000000001,0
1684844491.2473357,53.5711933633668,143.19707625133455,53.88983000000002,1.2750000000000001,0
1684844491.2679589,53.52620410928586,143.1520869972536,53.88983000000002,1.2750000000000001,0
1684844491.2885299,53.490330817524864,143.1162137054926,53.88983000000002,1.2750000000000001,0
1684844491.3081965,53.45408969227549,143.07997258024324,53.88983000000002,1.2750000000000001,0
1684844491.328475,53.41873597819145,143.0446188661592,53.88983000000002,1.2750000000000001,0
1684844491.3480144,53.39107106769876,143.0169539556665,53.88983000000002,1.2750000000000001,0
1684844491.3683434,53.34662338070834,142.97250626867609,53.88983000000002,1.2750000000000001,0
1684844491.3885744,53.31061897944221,142.93650186740996,53.88983000000002,1.2750000000000001,0
1684844491.4078274,53.2740186571568,142.89990154512455,53.88983000000002,1.2750000000000001,0
1684844491.4281633,53.23724416090633,142.86312704887408,53.88983000000002,1.2750000000000001,0
1684844491.4480934,53.200772707896306,142.82665559586405,53.88983000000002,1.2750000000000001,0
1684844491.4678051,53.156430429102045,142.7823133170698,53.88983000000002,1.2750000000000001,0
1684844491.4880588,53.12019441297497,142.74607730094272,53.88983000000002,1.2750000000000001,0
1684844491.5082653,53.07571763459924,142.701600522567,53.88983000000002,1.2750000000000001,0
1684844491.5278838,53.039767933569095,142.66565082153684,53.88983000000002,1.2750000000000001,0
1684844491.5484576,53.00371207561065,142.6295949635784,53.88983000000002,1.2750000000000001,0
1684844491.5679533,52.9486602049455,142.57454309291325,53.88983000000002,1.2750000000000001,0
1684844491.5880866,52.91241364385289,142.53829653182063,53.88983000000002,1.2750000000000001,0
1684844491.6082678,52.87594369592264,142.5018265838904,53.88983000000002,1.2750000000000001,0
1684844491.6278472,52.83982308140352,142.46570596937127,53.88983000000002,1.2750000000000001,0
1684844491.6486087,52.80380444781713,142.42968733578488,53.88983000000002,1.2750000000000001,0
1684844491.6682599,52.75945228122393,142.38533516919168,53.88983000000002,1.2750000000000001,0
1684844491.6879268,52.73129728886752,142.35718017683527,53.88983000000002,1.2750000000000001,0
1684844491.7085395,52.695301548990756,142.3211844369585,53.88983000000002,1.2750000000000001,0
1684844491.7281134,52.667189018071866,142.29307190603961,53.88983000000002,1.2750000000000001,0
1684844491.7482874,52.63198010765731,142.25786299562506,53.88983000000002,1.2750000000000001,0
1684844491.7677197,52.61479011123521,142.24067299920296,53.88983000000002,1.2750000000000001,0
1684844491.7881973,52.579620788141995,142.20550367610974,53.88983000000002,1.2750000000000001,0
1684844491.808358,52.5427356177197,142.16861850568745,53.88983000000002,1.2750000000000001,0
1684844491.8279552,52.5070693325778,142.13295222054555,53.88983000000002,1.2750000000000001,0
1684844491.8483243,52.48031783583619,142.10620072380394,53.88983000000002,1.2750000000000001,0
