time,gps_heading,gspeed
1684813712.651511,54.38983999999999,0.78
1684813712.6721697,54.38983999999999,0.78
1684813712.6927407,54.38983999999999,0.78
1684813712.7121413,54.38983999999999,0.78
1684813712.7325883,54.38983999999999,0.78
1684813712.7518656,54.38983999999999,0.78
1684813712.772029,54.38983999999999,0.78
1684813712.7921736,54.38983999999999,0.78
1684813712.8123057,54.38983999999999,0.78
1684813712.8321397,54.38983999999999,0.78
1684813712.8528495,54.38983999999999,0.78
1684813712.872088,54.38983999999999,0.78
1684813712.891991,54.38983999999999,0.78
1684813712.913138,54.38983999999999,0.78
1684813712.9320312,54.38983999999999,0.78
1684813712.951953,54.197599999999966,1.053
1684813712.9724545,54.197599999999966,1.053
1684813712.9919882,54.197599999999966,1.053
1684813713.0127356,54.197599999999966,1.053
1684813713.0323677,54.197599999999966,1.053
1684813713.0520043,54.197599999999966,1.053
1684813713.0733254,54.197599999999966,1.053
1684813713.0919178,54.197599999999966,1.053
1684813713.1118774,54.197599999999966,1.053
1684813713.1334934,54.197599999999966,1.053
1684813713.1519933,54.197599999999966,1.053
1684813713.17209,54.197599999999966,1.053
1684813713.1927621,54.197599999999966,1.053
1684813713.212041,54.197599999999966,1.053
1684813713.2335467,54.197599999999966,1.053
1684813713.251997,54.197599999999966,1.053
1684813713.2718456,54.197599999999966,1.053
1684813713.293272,54.197599999999966,1.053
1684813713.311934,54.197599999999966,1.053
1684813713.3315935,54.197599999999966,1.053
1684813713.352838,54.197599999999966,1.053
1684813713.3718877,54.197599999999966,1.053
1684813713.3925707,54.197599999999966,1.053
1684813713.4125745,54.197599999999966,1.053
1684813713.43202,54.197599999999966,1.053
1684813713.4525774,54.197599999999966,1.053
1684813713.4724474,54.197599999999966,1.053
1684813713.491885,54.197599999999966,1.053
1684813713.5120976,54.197599999999966,1.053
1684813713.5321064,54.197599999999966,1.053
1684813713.5519114,54.197599999999966,1.053
1684813713.5725396,54.197599999999966,1.053
1684813713.5921907,54.197599999999966,1.053
1684813713.6119838,54.197599999999966,1.053
1684813713.6322572,54.197599999999966,1.053
1684813713.651637,54.197599999999966,1.053
1684813713.6720784,54.197599999999966,1.053
1684813713.692828,54.197599999999966,1.053
1684813713.711572,54.197599999999966,1.053
1684813713.7334874,54.197599999999966,1.053
1684813713.752103,54.197599999999966,1.053
1684813713.7718217,54.197599999999966,1.053
1684813713.792547,54.197599999999966,1.053
1684813713.8117847,54.197599999999966,1.053
1684813713.831994,54.197599999999966,1.053
1684813713.8527017,54.197599999999966,1.053
1684813713.871794,54.197599999999966,1.053
1684813713.8919787,54.197599999999966,1.053
1684813713.9123633,54.197599999999966,1.053
1684813713.932274,54.197599999999966,1.053
1684813713.9527605,54.197599999999966,1.053
1684813713.9721475,51.10973999999999,1.207
1684813713.9919276,51.10973999999999,1.207
1684813714.0131204,51.10973999999999,1.207
1684813714.0320492,51.10973999999999,1.207
1684813714.0521734,51.10973999999999,1.207
1684813714.073515,51.10973999999999,1.207
1684813714.0919755,51.10973999999999,1.207
1684813714.112004,51.10973999999999,1.207
1684813714.1324563,51.10973999999999,1.207
1684813714.1517146,51.10973999999999,1.207
1684813714.1721675,51.10973999999999,1.207
1684813714.192321,51.10973999999999,1.207
1684813714.211743,51.10973999999999,1.207
1684813714.2327154,51.10973999999999,1.207
1684813714.2517927,51.10973999999999,1.207
1684813714.271935,51.10973999999999,1.207
1684813714.2923331,51.10973999999999,1.207
1684813714.3120203,51.10973999999999,1.207
1684813714.332021,51.10973999999999,1.207
1684813714.352279,51.10973999999999,1.207
1684813714.371802,51.10973999999999,1.207
1684813714.3921208,51.10973999999999,1.207
1684813714.4121706,51.10973999999999,1.207
1684813714.4321043,51.10973999999999,1.207
1684813714.4521995,51.10973999999999,1.207
1684813714.4718666,51.10973999999999,1.207
1684813714.492123,51.10973999999999,1.207
1684813714.5122604,51.10973999999999,1.207
1684813714.5317976,51.10973999999999,1.207
1684813714.5522752,51.10973999999999,1.207
1684813714.5728533,51.10973999999999,1.207
1684813714.5920548,51.10973999999999,1.207
1684813714.61269,51.10973999999999,1.207
1684813714.6324844,51.10973999999999,1.207
1684813714.6519182,51.10973999999999,1.207
1684813714.6727917,51.10973999999999,1.207
1684813714.6922371,51.10973999999999,1.207
1684813714.7122078,51.10973999999999,1.207
1684813714.7326689,51.10973999999999,1.207
1684813714.751999,51.10973999999999,1.207
1684813714.7727337,51.10973999999999,1.207
1684813714.792936,51.10973999999999,1.207
1684813714.812058,51.10973999999999,1.207
1684813714.832022,51.10973999999999,1.207
1684813714.8522208,51.10973999999999,1.207
1684813714.8720002,51.10973999999999,1.207
1684813714.892315,51.10973999999999,1.207
1684813714.911798,51.10973999999999,1.207
1684813714.932135,51.10973999999999,1.207
1684813714.952116,46.45672000000002,1.314
1684813714.971676,46.45672000000002,1.314
1684813714.9926312,46.45672000000002,1.314
