time,heading,gspeed
1684827089.9757738,50.92335031394043,0.333
1684827089.995748,50.95966865825011,0.333
1684827090.0156956,50.97901369984433,0.333
1684827090.0359514,50.97920967837615,0.333
1684827090.0552583,50.979485236286706,0.333
1684827090.0754652,50.97970008262584,0.333
1684827090.0958319,50.97157802381807,0.333
1684827090.1153133,50.96176705287263,0.333
1684827090.1348705,50.95446961488969,0.333
1684827090.1559114,50.9553868726976,0.333
1684827090.1752982,50.94769334225683,0.333
1684827090.1956174,50.93784258676101,0.333
1684827090.2158968,50.93001845289601,0.333
1684827090.2354007,50.9306250891905,0.333
1684827090.2558336,50.931015995365016,0.333
1684827090.2756546,50.92274736004504,0.333
1684827090.2956507,50.931290856448555,0.333
1684827090.3159409,50.93120115622884,0.333
1684827090.3353405,50.93123823134073,0.333
1684827090.3559253,50.93132563074414,0.333
1684827090.375956,50.93971173994365,0.333
1684827090.3957002,50.93955952926294,0.333
1684827090.4157343,50.939361552506654,0.333
1684827090.4350393,50.94771367240935,0.333
1684827090.4555697,50.94784667495884,0.333
1684827090.475403,50.97540352227779,0.333
1684827090.4950306,50.97533710268033,0.333
1684827090.5153246,50.975432776301545,0.333
1684827090.5354123,50.97548995424853,0.333
1684827090.5550063,50.98415883420162,0.075
1684827090.575344,50.98449460209375,0.075
1684827090.5952423,50.99513060082904,0.075
1684827090.6155555,50.995115722733686,0.075
1684827090.6353672,50.99502180307212,0.075
1684827090.6550183,50.99464612750691,0.075
1684827090.6753154,51.002861930678705,0.075
1684827090.6958215,51.00247390184998,0.075
1684827090.7150705,51.002516603671495,0.075
1684827090.7351398,51.002401495399965,0.075
1684827090.7553024,51.00228638749394,0.075
1684827090.775515,51.00232691404119,0.075
1684827090.7953925,51.002524637149605,0.075
1684827090.8150818,51.00268363130024,0.075
1684827090.8355038,51.00288537767733,0.075
1684827090.8559,51.00288537767733,0.075
1684827090.8751462,51.003047731622246,0.075
1684827090.8957808,51.003047731622246,0.075
1684827090.915923,51.00288537767733,0.075
1684827090.9355764,51.00288537767733,0.075
1684827090.955825,51.00272444329221,0.075
1684827090.9757082,51.002524637149605,0.075
1684827090.99541,51.002524637149605,0.075
1684827091.015759,51.00244292059881,0.075
1684827091.0358446,51.00255892752759,0.075
1684827091.055291,51.00255892752759,0.075
1684827091.0758102,51.00271777936396,0.075
1684827091.0953116,51.00287805087544,0.075
1684827091.1158779,51.003039742027966,0.075
1684827091.1357062,51.00320285278718,0.075
1684827091.1555014,51.00308324982166,0.075
1684827091.1758795,51.003246881157594,0.075
1684827091.19548,51.00296364725065,0.075
1684827091.2155201,51.00284404507417,0.075
1684827091.2358792,51.00272444329221,0.075
1684827091.2556355,51.002564928501556,0.075
1684827091.275728,51.00240683333985,0.075
1684827091.2955081,51.002524637149605,0.075
1684827091.3150575,51.00280233448751,0.075
1684827091.3358188,51.00292103806342,0.075
1684827091.3558214,51.003039742027966,0.075
1684827091.3754268,51.00315844638109,0.075
1684827091.3958392,51.00327715112289,0.075
1684827091.4149623,51.00327715112289,0.075
1684827091.435283,51.002995856216245,0.075
1684827091.4554484,51.00287805087544,0.075
1684827091.4750147,51.002760245917386,0.075
1684827091.4953227,51.00260087341786,0.075
1684827091.5152822,51.00264244134212,0.075
1684827091.5353649,51.00264244134212,0.075
1684827091.555359,51.00280233448751,0.005
1684827091.574944,51.011296916046774,0.005
1684827091.5952983,51.01145820920732,0.005
1684827091.615868,51.011577839798235,0.005
1684827091.6352153,51.01169747078376,0.005
1684827091.6558523,51.0116531113691,0.005
1684827091.6757038,51.00315844638109,0.005
1684827091.695556,51.011608373398104,0.005
1684827091.7157066,51.011608373398104,0.005
1684827091.7357879,51.011608373398104,0.005
1684827091.7560432,51.01149054007524,0.005
1684827091.775866,51.01132938831668,0.005
1684827091.7954283,51.01149054007524,0.005
1684827091.8158073,51.01149054007524,0.005
1684827091.8359473,51.01153437920627,0.005
1684827091.8551722,51.01153437920627,0.005
1684827091.8755329,51.01169747078376,0.005
1684827091.8952363,51.01181710216383,0.005
1684827091.9155076,51.01181710216383,0.005
1684827091.9358408,51.01181710216383,0.005
1684827091.9552689,51.01181710216383,0.005
1684827091.9765413,51.0116531113691,0.005
1684827091.9959266,51.0116531113691,0.005
1684827092.0148542,51.01149054007524,0.005
1684827092.0351765,51.01144632240559,0.005
1684827092.0554638,51.01144632240559,0.005
1684827092.0749626,51.01144632240559,0.005
1684827092.0951405,51.011608373398104,0.005
1684827092.115154,51.011608373398104,0.005
1684827092.1351306,51.01177184392054,0.005
1684827092.1554036,51.01177184392054,0.005
1684827092.1748698,51.01177184392054,0.005
1684827092.1952906,51.0116531113691,0.005
1684827092.2154686,51.0116531113691,0.005
1684827092.235499,51.0116531113691,0.005
1684827092.2558465,51.0116531113691,0.005
1684827092.2754157,51.01149054007524,0.005
1684827092.29559,51.002995856216245,0.005
1684827092.3158064,51.002951592387035,0.005
1684827092.3353965,51.00311366193981,0.005
1684827092.3557746,51.002951592387035,0.005
1684827092.3757973,51.00306849946398,0.005
1684827092.3954394,51.003231468046124,0.005
1684827092.415804,51.003231468046124,0.005
